FlyGo卡,ts0001-0001,現金回饋無上限——國內一般,2020/1/1 - 2020/7/31,帳戶扣款回饋率,1.20%
FlyGo卡,ts0001-0002,現金回饋無上限——海外消費,2020/1/1 - 2020/7/31,帳戶扣款回饋率,2.80%
FlyGo卡,ts0001-0003,現金回饋無上限——航空公司機票消費,2020/1/1 - 2020/7/31,帳戶扣款回饋率,2.80%
FlyGo卡,ts0001-0004,旅遊保險,2020/1/1~2020/12/31,旅遊平安險、海外旅遊全程保障保險,"旅遊平安險：最高NT$3,000萬
海外旅遊全程保障保險：最高NT$1,000萬"
FlyGo卡,ts0001-0005,寵物險NT$520簡單保,即日起∼2020/12/31,獨家專案,NT$520/年
FlyGo卡,ts0001-0006,機場接/送優惠,2020/1/1-2020/12/31,機場接或送NT$428起/趟,"同享Mastercard鈦金商務卡一年4次優惠價NT$428起/趟機場接送(以實際使用日計算)，
超過次數後可使用優惠價$738專案(不限優惠次數)"
FlyGo卡,ts0001-0007,"Mastercard全球指定品牌回饋
——環球賞MTR(Mastercard Traveler Rewards)",2020/1/1~2020/3/31,使用細則及注意事項詳上述Mastercard網頁,
FlyGo卡,ts0001-0008,"Mastercard全球指定品牌回饋
——樂賞利Easy Savings",2020/1/1~2020/12/31,使用細則及注意事項詳上述Mastercard網頁,
FlyGo卡,ts0001-0009,龍騰貴賓室優惠,2020/1/1-2020/12/31,持龍騰卡可享NT$299使用全球龍騰貴賓室/餐廳乙次,
FlyGo卡,ts0001-0010,享租WiFi優惠,2020/1/1-2020/12/31,,
環球/亞洲無限卡,ts0002-0001,華航商務艙/豪華經濟艙專案優惠,即日起 - 2020/12/31,專案售價,
環球/亞洲無限卡,ts0002-0002,國際機場免費停車,2020/1/1 - 2020/12/31,免費停車,
環球/亞洲無限卡,ts0002-0003,免費市區停車,2020/1/1~2020/12/31,,
環球/亞洲無限卡,ts0002-0004,旅遊平安險,2020/1/1~2020/12/31,,"旅遊平安險：新台幣5,000萬元
海外意外保障旅遊平安險：新台幣1,000萬元
海外傷害醫療費用保險：新台幣100萬元
高額旅遊不便險：包括班機延誤、行李延誤、行李遺失、劫機險等一系列保障"
環球/亞洲無限卡,ts0002-0005,全球1000個國際機場貴賓室,2020/1/1~2020/12/31,,
環球/亞洲無限卡,ts0002-0006,免費道路救援,即日起 - 2020/12/31,,免費道路救援服務：免費接電啟動、送油、加水、換胎充氣
環球/亞洲無限卡,ts0002-0007,環宇尊榮禮遇通關,即日起 - 2020/12/31,桃園國際機場專屬機場禮遇出境或入境服務乙次,"專享尊榮禮遇通關、專屬秘書服務、各式調酒與中西美食、
專屬私人空間、健身樂活等禮賓服務"
環球/亞洲無限卡,ts0002-0008,高鐵商務車廂升等優惠,2020/1/1~2020/12/31,升等優惠,"扣抵紅利點數5,000點/張。
如點數不足，收取升等使用費NT$300/張。 
每月第5張起：扣抵點數6,680點/張，如點數不足，收取升等使用費NT$400/張"
環球/亞洲無限卡,ts0002-0009,高鐵標準車廂購票折抵15%,2020/1/1~2020/12/31,費用折抵,"享紅利點數折抵該全票票價15% ，紅利點數每90點折抵NT$5。
若持卡人點數不足抵扣該全票票價15%之全額時，將以折扣之票價差額下帳，最快於下期信用卡帳單收取。"
財富無限卡,ts0003-0001,現金回饋—國內消費,2020/1/1~2020/6/30,帳戶扣款回饋率,0.50%
財富無限卡,ts0003-0002,現金回饋—國外消費,2020/1/1~2020/6/30,帳戶扣款回饋率,1.80%
財富無限卡,ts0003-0003,現金回饋—保險費,2020/1/1~2020/6/30,帳戶扣款回饋率,1.20%
財富無限卡,ts0003-0004,免費升等高鐵商務車廂,2020/1/1~2020/6/30,升等優惠,
財富無限卡,ts0003-0005,免費市區停車優惠,2020/1/1~2020/6/30,,
財富無限卡,ts0003-0006,國際機場接/送禮遇,2020/1/1~2020/12/31,,免費機場單程接或送1次
財富無限卡,ts0003-0007,國際機場貴賓室禮遇,2020/1/1~2020/6/30,使用台灣地區貴賓室,當次旅程免費使用臺灣地區環亞貴賓室/摩爾貴賓室乙次
財富無限卡,ts0003-0008,國際機場貴賓室禮遇,2020/1/1~2020/6/30,使用境外貴賓室,免費使用全球環亞機場貴賓室(不含臺灣境內)乙次
財富無限卡,ts0003-0009,國際機場週邊停車禮遇,2020/1/1~2020/6/30,免費停車,
財富無限卡,ts0003-0010,高額旅遊平安險,2020/1/1~2020/12/31,,"旅遊平安險：新台幣3,000萬元
海外意外保障旅遊平安險：新台幣1,000萬元
海外傷害醫療費用保險：新台幣100萬元
高額旅遊不便險：包括班機延誤、行李延誤、行李遺失、劫機險等一系列保障"
財富無限卡,ts0003-0011,免費道路救援,即日起 - 2020/12/31,,"1.一般平面道路免費拖吊服務：汽車發生故障或事故致無法行駛時，
提供自故障地點起平面拖吊50公里以內至持卡人指定車廠之免費拖吊服務。
2.國道/高架橋/快速道路免費拖吊服務：汽車於本路段發生故障或事故致無法行駛時，
僅提供基本起拖費用1500內元/10公里免費服務，基本起拖費用超過1500元/10公里者，
差額由持卡人負擔自費。
3.免費道路救援服務：免費接電啟動、送油、加水、換胎充氣"
台新商務卡,ts0004-0001,刷卡滿額禮,即日起~2020/12/31 ,滿額禮兌換,"使用台新商務卡刷國內消費每新臺幣1元即自動計算累積消費額1元
累積之消費可免費兌換滿額禮、折抵年費或刷卡金"
台新商務卡,ts0004-0002,現金回饋,即日起~2020/12/31,回饋金僅限折抵信用卡刷卡消費金額,2.50%
台新商務卡,ts0004-0003,免費市區停車優惠,即日起~2020/6/30,,
台新商務卡,ts0004-0004,本國國際機場貴賓室,即日起~2020/6/30,,免費使用特約貴賓室乙次
台新商務卡,ts0004-0005,免費機場外圍停車30天,即日起~2020/6/30,免費停車,
台新商務卡,ts0004-0006,高額旅遊平安險,即日起~2020/12/31,,"旅遊平安險：新台幣3,000萬元
海外意外保障旅遊平安險：新台幣1,000萬元
海外傷害醫療費用保險：新台幣100萬元
高額旅遊不便險：最高NT$8萬，包括班機延誤、行李延誤、行李遺失、劫機險等一系列保障"
台新商務卡,ts0004-0007,免費道路救援,即日起 - 2020/12/31,,"1.一般平面道路免費拖吊服務：汽車發生故障或事故致無法行駛時，
提供自故障地點起平面拖吊50公里以內至持卡人指定車廠之免費拖吊服務。
2.國道/高架橋/快速道路免費拖吊服務：汽車於本路段發生故障或事故致無法行駛時，
僅提供基本起拖費用1500內元/10公里免費服務，基本起拖費用超過1500元/10公里者，
差額由持卡人負擔自費。
3.免費道路救援服務：免費接電啟動、送油、加水、換胎充氣"
昇恆昌無限卡,ts0005-0001,現金回饋—旅遊,2020/1/1~2020/6/30,於「當期帳單之新增消費」中作折抵,2.20%
昇恆昌無限卡,ts0005-0002,現金回饋—國內消費（含保費）,2020/1/1~2020/6/30,於「當期帳單之新增消費」中作折抵,1%
昇恆昌無限卡,ts0005-0003,昇恆昌店內免稅再9折起優惠,2020/1/1~2020/12/31,,可享免稅部分再 9 折起優惠
昇恆昌無限卡,ts0005-0004,高鐵升等商務車廂,2020/1/1~2020/12/31,,免費升等6張正附卡合併計算張數
昇恆昌無限卡,ts0005-0005,免費機場外圍停車30天,2020/1/1~2020/6/30,免費停車,
昇恆昌無限卡,ts0005-0006,免費市區停車,2020/1/1~2020/6/30,免費停車,
新光三越無限/世界卡,ts0006-0001,週末逛新光三越 筆筆享1.2%回饋!,2020/1/1~2020/6/30,列入當期帳單之回饋計算,"新光三越店內
週一~四：0.3%現金回饋
週五~日：加碼0.9%，享1.2%現金回饋
新光三越店外：一般：0.3%現金回饋"
新光三越無限/世界卡,ts0006-0002,店內停車免消費享2小時,2020/1/1~2020/12/31,,新光三越服務台過卡，享店內免費停車2小時優惠
新光三越無限/世界卡,ts0006-0003,旅遊平安險,2020/1/1~2020/12/31,,"身故及殘廢*：5,000萬
傷害醫療給付(實支實付型)：10萬
移靈費用保險金：5萬"
新光三越無限/世界卡,ts0006-0004,免費市區停車,2020/1/1~2020/6/30,免費停車,
新光三越無限/世界卡,ts0006-0005,機場週圍停車,2020/1/1~2020/6/30,免費停車,
新光三越無限/世界卡,ts0006-0006,免費道路救援,2020/1/1~2020/6/30,,"1.一般平面道路免費拖吊服務：汽車發生故障或事故致無法行駛時，
提供自故障地點起平面拖吊50公里以內至持卡人指定車廠之免費拖吊服務。
2.國道/高架橋/快速道路免費拖吊服務：汽車於本路段發生故障或事故致無法行駛時，
僅提供基本起拖費用1500內元/10公里免費服務，基本起拖費用超過1500元/10公里者，
差額由持卡人負擔自費。
3.免費道路救援服務：免費接電啟動、送油、加水、換胎充氣"
國泰航空翱翔鈦金卡,ts0007-0001,里數回饋計劃——一般消費,2020/1/1~2020/12/31,換取里程數,"國內 NT$ 25 =1里數
國外 NT$ 15 =1里數"
國泰航空翱翔鈦金卡,ts0007-0002,里數回饋計劃——越飛越有哩  ,2020/1/1~2020/12/31,換取里程數,NT$10＝1里數
國泰航空翱翔鈦金卡,ts0007-0003,"里數回饋計劃——
國泰航空臺灣官網/客戶聯絡中心購票",2020/1/1~2020/12/31,換取里程數,NT＄5 = 1里數
國泰航空翱翔鈦金卡,ts0007-0004,專屬生日禮遇,2020/1/1~2020/6/30,買一送一,機票買一送一
國泰航空翱翔鈦金卡,ts0007-0005,馬可孛羅會籍,2020/1/1~2020/6/30,豁免申請費用,豁免馬可孛羅會綠卡會籍申請費用
國泰航空翱翔鈦金卡,ts0007-0006,航空專屬優惠,2020/1/1~2020/6/30,,
國泰航空翱翔鈦金卡,ts0007-0007,國泰航空機票優惠,,享指定航線9折起優惠,
國泰航空翱翔鈦金卡,ts0007-0008,優先兌換折扣/獎勵機票,,,早達3天前於國泰航空臺灣官網優先兌換精選折扣獎勵機票
國泰航空翱翔鈦金卡,ts0007-0009,購買里數優惠,,,透過「亞洲萬里通」網站，為延續里數有效期、里數轉贈及透過「餽贈里賞」購買「亞洲萬里通」里數之費用均可獲享９折優惠
國泰航空翱翔鈦金卡,ts0007-0010,Wifi分享器租借優惠,,,享漫遊吧網路分享器一年指定地區3日免費。
國泰航空翱翔鈦金卡,ts0007-0011,香港轉機禮遇,,,當次旅程使用一次香港機場環亞貴賓室(Plaza Premium Lounge)8折或Wellness按摩9折
國泰航空翱翔鈦金卡,ts0007-0012,機場接或送優惠,2020/1/1~2020/6/30,,"以國泰航空翱翔鈦金卡刷卡支付近6個月(含使用當月)，當次國外旅遊團費總金額八成（含）
以上或全額國際線機票，單月金額達NT$8,000以上且成功付款者，於6個月內(含刷卡當月)可享
免費機場單程接或送1次；單月金額達NT$16,000以上且成功付款者，於6個月內(含刷卡當月)可享
免費機場單程接或送2次"
國泰航空翱翔鈦金卡,ts0007-0013,環宇商務禮遇通關,2020/1/1~2020/6/30,"優惠價新臺幣2,000元",環宇商務禮遇通關
國泰航空翱翔鈦金卡,ts0007-0014,出國免費停車優惠,2020/1/1~2020/6/30,免費停車,
國泰航空翱翔鈦金卡,ts0007-0015,免費使用環亞/摩爾貴賓室(臺灣地區)乙次,2020/1/1~2020/6/30,免費貴賓室,當次旅程免費使用臺灣地區環亞機場貴賓室/摩爾貴賓室乙次
國泰航空翱翔鈦金卡,ts0007-0016,免費市區停車,2020/1/1~2020/6/30,每日2小時免費市區停車優惠,"中興嘟嘟房/台灣聯通/ViVi PARK/24TPS四品牌連鎖停車場每卡每日一次、
每次2小時免費停車優惠。"
國泰航空翱翔鈦金卡,ts0007-0017,旅遊平安險,2020/1/1~2020/12/31,免費保險,"旅遊平安險：最高NT$3,000萬
海外旅遊全程保障保險：最高NT$1,000萬
海外旅遊全程保障保險之傷害醫療保險金：最高NT$100萬
高額旅遊不便險：包括班機延誤、行李延誤、行李遺失、劫機險等保障，全程提供您個人更完善無虞的旅遊保障。"
國泰航空翱翔鈦金卡,ts0007-0018,龍騰貴賓室優惠價,2020/1/1~2020/6/30,免費申請龍騰卡會籍,
@GoGo悠遊御璽卡,ts0008-0001,基本回饋——一般消費,2020/1/1~2020/7/31,0.5%現金回饋,
@GoGo悠遊御璽卡,ts0008-0002,基本回饋——指定數位通路,2020/1/1~2020/7/31, 2.5 % 回饋,
@GoGo悠遊御璽卡,ts0008-0003,綁定 Richart 儲帳戶扣款，消費回饋再加碼1%,2020/1/1~2020/7/31,"一般消費1.5%
數位通路3.5%",其它與基本回饋一樣
@GoGo悠遊御璽卡,ts0008-0004,旅遊平安險,2020/1/1~2020/12/31,"享NT$2,000萬旅遊平安險",https://www.taishinbank.com.tw/TSB/personal/credit/intro/rights/insurance/right0202/
@GoGo悠遊御璽卡,ts0008-0005,寵物險NT$520簡單保,即日起∼2020/12/31,獨家專案,NT$520/年
@GoGo悠遊御璽卡,ts0008-0006,Hotels.com週一訂房現折10%,2020/1/5~2020/6/30(每週一),全球飯店現折10%,
@GoGo iCash御璽卡,ts0009,優惠同@GoGo悠遊御璽卡,,,
@GoGo虛擬御璽卡,ts0010,優惠同@GoGo悠遊御璽卡,,,
玫瑰卡,ts0011-0001,現金回饋,2020/1/1 ~2020/06/30,現金回饋,"非指定加碼類別：0.3%

指定加碼類別回饋率
NT$30,000以上：1.5%
NT$8,000~29,999：1%
NT$1~7,999：0.6%

回饋計算：當期帳單該卡指定類別消費金額 X 指定類別消費回饋率 + 當期帳單該卡新增一般消費金額 X0.3%"
玫瑰卡,ts0011-0002,保險費1% 現金回饋無上限,2020/1/1~2020/12/31,現金回饋,1%的刷卡現金回饋
玫瑰卡,ts0011-0003,機場接送禮遇優惠,2020/1/1~2020/12/31 ,機場接或送 禮遇一趟,
玫瑰卡,ts0011-0004,自由選回饋,,,
玫瑰卡,ts0011-0005,自由選附加優惠,2020/1/1~2020/6/30,玫瑰卡正卡持卡人可於6項附加優惠項目中，選出4項您常用的優惠項目,
玫瑰卡,ts0011-0006,自由選附加優惠——市區免費臨時停車優惠,,免費停車優惠,每卡享有之停車時數須依不同消費門檻金額而享有不同之停車優惠
玫瑰卡,ts0011-0007,自由選附加優惠——國際機場周邊停車,,免費停車優惠,
玫瑰卡,ts0011-0008,自由選附加優惠——國內機場貴賓室,,貴免費賓室,免費使用桃園國際機場『環亞貴賓室』或臺中國際機場或高雄小港國際機場『摩爾貴賓室』乙次。
玫瑰卡,ts0011-0009,自由選附加優惠—— 24小時道路救援,,道路救援,一年3次24小時道路救援服務
玫瑰卡,ts0011-0010,自由選附加優惠——刷卡消費簡訊服務,,,"玫瑰卡單筆消費金額滿NT$3,000 (含)以上，及時提供您每筆消費金額簡訊，嚴謹的交易控管，讓您用卡更安心。"
玫瑰卡,ts0011-0011,自由選附加優惠——海外消費1%現金回饋,,現金回饋,1%無上限之現金回饋
Mercedes-Benz 信用卡,ts0012-0001,Mercedes-Benz 無限卡貴賓專屬活動,109/1/1~12/31,專屬活動,"為了提供 Mercedes-Benz 無限卡貴賓更豐富的文化饗宴，與更優質的精緻生活， Mercedes-Benz 無限卡將不定期的舉辦一系列會員專屬的音樂、時尚、藝文及休閒活動，如：世界古典音樂年、頂級珠寶秀、品酒華會、服裝秀… 等，讓您品味人生、盡享無限禮遇。
"
Mercedes-Benz 信用卡,ts0012-0002,獨享 Mercedes-Benz 精品優惠,109/1/1~12/31,獨享 Mercedes-Benz 精品優惠,擁有最極致的禮遇，才能讓您的精緻生活更顯獨特。只要您持 Mercedes-Benz 無限卡，至 Mercedes-Benz 全國展示中心及指定服務廠購買 Mercedes-Benz 精品，就能享有專屬優惠折扣，滿足您的精緻享受。
Mercedes-Benz 信用卡,ts0012-0003,優先享有 Mercedes-Benz 最新車訊,109/1/1~12/31,最新車訊,
Mercedes-Benz 信用卡,ts0012-0004,24 小時全年 6 次免費全程全載道路救援服務(需前一個月 1 號~月底有消費記錄),109/1/1~12/31,"道路救援
",為了提供您遍行天下的尊榮禮遇， Mercedes-Benz 傾力建構的 24 小時 VIP 道路救援系統，能在您需要援助之時，提供免費全載平面拖吊至臺灣本島任一 Mercedes-Benz 授權服務廠的貼心服務。
Mercedes-Benz 信用卡,ts0012-0005,專屬賓士車機接尊榮服務,109/1/1~12/31,"機場接送
","Mercedes-Benz 無限卡享一年 2 次 Mercedes-Benz 專車免費國際機場接機或送機尊榮服務 (正附卡合計)。需以 Mercedes-Benz 無限卡支付當次國外旅遊團費總金額八成 (含) 以上或全額國際線機票，金額達NT$ 8,000 (含) 以上。並限正卡持卡人透過台新銀行客戶服務部人員確認預約。"
